Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
25,762,University of Illinois (IL),OF,R/R,4YR 5S,112.0,Chicago Cubs, Zac,Taylor, Zac Taylor,SignedBonus,1000.0,2019
26,792,South Carolina (SC),IF,R/R,4YR SR,112.0,Chicago Cubs, Jacob,Olson, Jacob Olson,SignedBonus,1000.0,2019
27,822,McNeese State (LA),P,R/R,4YR SR,112.0,Chicago Cubs, Cayne,Ueckert, Cayne Ueckert,SignedBonus,5000.0,2019
28,852,Lipscomb University (TN),P,R/R,4YR SR,112.0,Chicago Cubs, Chris,Kachmar, Chris Kachmar,SignedBonus,1000.0,2019
29,882,East Carolina (NC),C,R/R,4YR SR,112.0,Chicago Cubs, Jake,Washer, Jake Washer,SignedBonus,0.0,2019
30,912,McNeese State (LA),P,R/L,4YR SR,112.0,Chicago Cubs, Bryan,King, Bryan King,SignedBonus,1000.0,2019
1,3,California (CA),1B,R/R,4YR JR,145.0,Chicago White Sox, Andrew,Vaughn, Andrew Vaughn,SignedBonus,7220000.0,2019
2,45,Cypress Ranch HS (TX),P,R/R,HS SR,145.0,Chicago White Sox, Matthew,Thompson, Matthew Thompson,SignedBonus,2100000.0,2019
3,81,Redondo Union HS (CA),P,R/R,HS SR,145.0,Chicago White Sox, Andrew,Dalquist, Andrew Dalquist,SignedBonus,2000000.0,2019
4,110,Loyd Star HS (MS),CF,R/R,HS SR,145.0,Chicago White Sox, James,Beard, James Beard,SignedBonus,350000.0,2019
5,140,Boston College (MA),P,L/L,4YR SR,145.0,Chicago White Sox, Dan,Metzdorf, Dan Metzdorf,SignedBonus,10000.0,2019
6,170,Arizona (AZ),P,R/L,4YR SR,145.0,Chicago White Sox, Avery,Weems, Avery Weems,SignedBonus,10000.0,2019
7,200,University of Texas - San Antonio (TX),P,R/R,4YR SR,145.0,Chicago White Sox, Karan,Patel, Karan Patel,SignedBonus,10000.0,2019
8,230,West Virginia (WV),C,R/R,4YR SR,145.0,Chicago White Sox, Ivan,Gonzalez, Ivan Gonzalez,SignedBonus,10000.0,2019
9,260,Campbell University (NC),P,R/R,4YR SR,145.0,Chicago White Sox, Tyson,Messer, Tyson Messer,SignedBonus,10000.0,2019
10,290,Winthrop (SC),P,R/R,4YR SR,145.0,Chicago White Sox, Nate,Pawelczyk, Nate Pawelczyk,SignedBonus,10000.0,2019
11,320,International Baseball Academy (PR),C,R/R,HS SR,145.0,Chicago White Sox, Victor,Torres, Victor Torres,SignedBonus,175000.0,2019
12,350,Leadership Christian Academy (PR),CF,R/R,HS SR,145.0,Chicago White Sox, Misael,Gonzalez, Misael Gonzalez,SignedBonus,185000.0,2019
13,380,Florida Southern College (FL),P,R/R,4YR JR,145.0,Chicago White Sox, Cooper,Bradford, Cooper Bradford,SignedBonus,125000.0,2019
14,410,University of Arkansas - Little Rock (AR),P,R/R,4YR JR,145.0,Chicago White Sox, McKinley,Moore, McKinley Moore,SignedBonus,100000.0,2019
15,440,Texas Tech (TX),P,R/R,4YR JR,145.0,Chicago White Sox, Caleb,Freeman, Caleb Freeman,SignedBonus,0.0,2019
16,470,Illiana Christian HS (IL),3B,R/R,HS SR,145.0,Chicago White Sox, DJ,Gladney, DJ Gladney,SignedBonus,225000.0,2019
17,500,Georgetown (DC),P,R/R,4YR JR,145.0,Chicago White Sox, Jeremiah,Burke, Jeremiah Burke,SignedBonus,125000.0,2019
18,530,University of Tampa (FL),P,L/L,4YR JR,145.0,Chicago White Sox, Sammy,Peralta, Sammy Peralta,SignedBonus,85000.0,2019
19,560,Chipola College (FL),SS,R/R,JC J2,145.0,Chicago White Sox, Joshua,Rivera, Joshua Rivera,SignedBonus,125000.0,2019
20,590,Virginia (VA),OF,R/R,4YR SR,145.0,Chicago White Sox, Cameron,Simmons, Cameron Simmons,SignedBonus,85000.0,2019
